"sector27","hours2004_05","hours1999_00","hours2011_12","hours2018_19","hours2022_23","VA_r1999_00","VA_r2004_05","VA_r2011_12","VA_r2018_19","VA_r2022_23","EMP1999_00","EMP2004_05","EMP2011_12","EMP2018_19","EMP2022_23","LSH_VA1999_00","LSH_VA2004_05","LSH_VA2011_12","LSH_VA2018_19","LSH_VA2022_23","LAB_QI1999_00","LAB_QI2004_05","LAB_QI2011_12","LAB_QI2018_19","LAB_QI2022_23","unorg_1999_00","unorg_2004_05","unorg_2011_12","unorg_2018_19","unorg_2022_23","edu_yrs1999_00","edu_yrs2004_05","edu_yrs2011_12","edu_yrs2018_19","edu_yrs2022_23"
"admin_defense_socialsecurity",2501.90678232834,2501.90678232834,2668.67487312465,2668.67487312465,2668.67487312465,254845.93560272,295461.994440025,491155,722772.733792405,828313.619475626,10357.0615124199,8926.20826525095,8298.45628318019,8450.60274119914,9290.76854803404,0.799844494347345,0.797001894861948,0.825792630394698,0.873329199683634,0.871051299702175,112.385504515023,115.540196634617,123.69118381236,124.714219103335,126.284493939434,8.98620414733887,11.4752111434937,8.17102146148682,0,0,8.67713260650635,10.5074911117554,11.4609603881836,11.9888305664062,12.2575540542603
"agri_forest_fish",1192.09198243516,1192.09198243516,1160.94715384014,1160.94715384014,1160.94715384014,1065918.32018006,1152840.69534515,1501947,1878598.35005575,2272250.47486947,240339.862026027,257823.696015379,225755.333539494,202762.39673757,253029.133264864,0.56011851290277,0.545350545354794,0.551052012161448,0.562154996725714,0.564658220042093,105.510752464951,106.898049000087,109.85251854646,112.554936725247,113.54769560112,NA,NA,NA,NA,NA,2.51055216789246,3.23634362220764,4.1756420135498,5.13834142684937,5.21919012069702
"business_services",2339.68321793454,2339.68321793454,2456.22941983301,2456.22941983301,2456.22941983301,116195.6794122,252454.440254337,449039.050864508,1128039.39243703,1588040.96573837,2392.9136013193,4055.81742039628,7655.07316890428,14012.724275053,18212.0050942965,0.41885071797929,0.367756537208004,0.399808905492547,0.460428896752702,0.501749107167316,104.431691094931,110.828534129362,115.381822146117,115.454079942015,122.235255440426,80.8074111938477,79.8929977416992,63.5318260192871,43.5365562438965,47.7208786010742,10.4494314193726,11.6723117828369,11.4698715209961,12.1261167526245,12.0235939025879
"chemicals",2222.0695106107,2222.0695106107,2287.79729671319,2287.79729671319,2287.79729671319,93916.3695098627,139169.569207848,203578.605435903,290837.996861855,397765.5976383,1821.59975741418,2085.10273601671,2041.48528973292,2397.96554051639,3042.78914702041,0.257371330384874,0.237965410135858,0.203411880774681,0.211323047444271,0.235049513789241,125.336481350387,127.486651120412,145.548684307832,163.817157817878,164.779716372676,39.293140411377,35.0117111206055,21.6666660308838,12.2191009521484,13.0901260375977,7.4308876991272,7.81724786758423,9.6583890914917,10.9697341918945,11.0822582244873
"coke_petro_nuclear",2222.0695106107,2222.0695106107,2287.79729671319,2287.79729671319,2287.79729671319,51555.9527128333,78519.887348065,78540.3003741741,152614.917885484,123712.002962262,107.926817959645,121.536912588809,154.064108221393,220.630053154102,220.67436716473,0.0801904685123603,0.0497948619224149,0.0858400182948111,0.0917047936055758,0.0844010213990166,118.605110774268,135.575502668677,137.731080076937,127.618346026864,144.786292310229,20,25,18.8405799865723,13.6986312866211,12.1212158203125,7.2613377571106,9.74398708343506,10.0833978652954,10.8928318023682,11.4403018951416
"construction",1530.71861225757,1530.71861225757,1231.6525719753,1231.6525719753,1231.6525719753,263280.562300705,411620.236959522,777335,1026789.19010833,1306255.85630905,17150.3867423423,25506.0639656081,48718.6202692904,58366.2704236151,74707.6975521925,0.795102323344662,0.801767003608904,0.773825200977989,0.755539026467983,0.764456733451378,109.036434535947,110.699512086739,112.132467756694,115.912124815985,116.535764324117,84.7732391357422,82.359130859375,78.627311706543,79.175651550293,82.5046157836914,3.59522080421448,4.20784425735474,4.65581941604614,5.87399053573608,6.10289096832275
"education",1924.68395522876,1924.68395522876,2130.94918868194,2130.94918868194,2130.94918868194,93694.8212575586,126341.440420397,267900,473036.194495177,599599.259401802,8311.17937056911,11317.2214013925,14203.0668029692,19319.3815208511,19005.5404012106,0.720595179684103,0.669078404923478,0.718373140474186,0.706347365679443,0.693783737196386,110.342966999649,113.254961933542,116.928707518243,117.422109828809,117.59362173778,27.9037075042725,28.0301303863525,24.5720596313477,16.5625381469727,19.3524932861328,11.1454133987427,13.1093873977661,13.6888990402222,14.1268148422241,14.212682723999
"elec_equip_manuf",2138.48288862521,2138.48288862521,1614.34961569181,1614.34961569181,1614.34961569181,14578.0504560279,27494.1876359538,82246.4076942778,135486.867314017,139187.702642537,1052.93243042975,1179.89313744569,2505.43095168891,3585.14670353429,3962.25386345047,0.446708702708959,0.363937072999035,0.316538447398809,0.410764875628898,0.487469169873326,105.053387466084,111.294404078152,124.70945443281,119.738806230845,122.753585064883,32.3763961791992,52.4590148925781,25.0574703216553,22.1138229370117,16.007194519043,8.03271675109863,9.56038761138916,11.8151807785034,11.2935934066772,11.7110662460327
"elec_gas_water_supp",2384.11578187597,2384.11578187597,2342.32982793291,2342.32982793291,2342.32982793291,94275.384920148,116105.228958878,186668,294147,347973.412948332,1125.73574381946,1291.81757904197,1605.76609681487,2056.54672621489,2414.51295512369,0.277082585064671,0.288751362822154,0.357618388905914,0.369995189323109,0.347418737307542,117.056506700096,121.649403151089,127.852039781442,130.293144118623,131.550854413381,14.2857141494751,13.76953125,21.0355987548828,23.1375961303711,21.8454284667969,8.17109203338623,9.73396968841553,7.86404943466187,9.55644798278809,9.57878971099854
"fin_banking_services",2440.16161583097,2440.16161583097,2584.01749422379,2584.01749422379,2584.01749422379,214542.956110776,278995.502664156,480226,758170.318958433,894602.899265407,2220.31367412435,3053.62805364517,4470.84872002624,6040.1082234906,6597.31418221426,0.319133525450456,0.333510504756975,0.278999887552944,0.321454696091364,0.325572189866574,108.955525104759,110.616792984889,115.753727556715,117.649301784434,118.57929825532,23.6200256347656,34.7255363464355,37.6205787658691,19.2199020385742,20.4994812011719,12.1530818939209,13.0082874298096,13.7980871200562,14.1893672943115,14.3823308944702
"food_bev_tobacco",1670.58549704657,1670.58549704657,1804.06899883475,1804.06899883475,1804.06899883475,74709.0838647727,97335.5561531383,167610.222919414,258814.82381321,209728.289226809,10256.984785227,10292.5667646143,11357.9609773837,9690.3696821251,11522.8429063584,0.385741298969168,0.370597754248719,0.304747634470838,0.324364153118626,0.430458247488849,115.268820206118,118.769513484209,126.154138130934,133.50371427621,135.799286651797,79.2057037353516,80.6815872192383,75.3246765136719,70.4880828857422,71.8268280029297,3.719402551651,4.38896512985229,5.23816633224487,6.9577465057373,7.20513725280762
"health_socialwork",2121.23128791765,2121.23128791765,2219.01738615034,2219.01738615034,2219.01738615034,34748.0396640221,55443.3673368231,109515,190073.415758345,231465.405544068,2783.02820551804,3679.18524622378,4678.71177779953,6759.46663460498,8475.7413851729,0.641339764736872,0.595489116361086,0.718373140474186,0.706347365679443,0.693783737196386,117.468012168335,121.791613060823,128.203172603267,126.672266542754,130.798335077433,46.7375526428223,47.8586273193359,43.5490798950195,23.6695175170898,21.3463516235352,8.76697158813477,11.1051836013794,11.9185037612915,12.2996377944946,12.8908882141113
"hotel_restaurant",2295.05948270871,2295.05948270871,2383.55952046298,2383.55952046298,2383.55952046298,36491.95021241,53851.9088198937,89901,144543.615057071,154176.976939388,4516.14767727652,6026.73661048886,8003.69899688445,9569.1244778743,11935.1979871127,0.560920827871339,0.553624555567021,0.584155204390013,0.580518394327694,0.549468654618197,109.530627555547,111.847363144915,120.873968420808,122.395680192163,124.712720563042,89.8153686523438,82.9340438842773,88.1098480224609,82.4709930419922,85.4761276245117,4.63581800460815,6.26185035705566,6.60699939727783,7.40632724761963,7.92636013031006
"machinery_manuf",2395.34197973304,2395.34197973304,2501.39407587615,2501.39407587615,2501.39407587615,37068.0642677385,46649.6799438286,125550.65741388,178666.969462245,191424.256090794,1178.33089756104,1385.44304159015,1887.07085310861,3161.57700747553,2504.53051462901,0.249055653814541,0.259350756864333,0.269152557055316,0.36139802858587,0.390573206191683,146.782390910212,153.523432896339,158.183954617747,152.605894742133,155.925271097319,49.6307220458984,52.7559051513672,35.797664642334,28.505744934082,20.8092498779297,6.99704742431641,9.03404903411865,9.92525577545166,10.2662086486816,10.8918743133545
"metal_manuf",2167.81133610742,2167.81133610742,2386.10003633525,2386.10003633525,2386.10003633525,101865.813764326,136966.021593277,229352.086200381,325495.087366623,434649.764275118,3454.62309322322,3756.1191562585,4550.97278325275,5329.59884692895,6716.02288785324,0.230810498014606,0.202424026230576,0.26073396076298,0.301366717880845,0.23316994865676,122.456755091974,123.110362371337,127.638174319997,135.109103360757,134.970313633579,63.8431739807129,73.3529968261719,63.128490447998,48.4541893005371,46.4195022583008,5.90827178955078,7.11901712417603,7.55601263046265,9.06428527832031,9.2268238067627
"mining",1931.06942623341,1931.06942623341,2061.68271723008,2061.68271723008,2061.68271723008,185438.850737081,232211.883011759,261035,326814.569226194,315256.271469056,2615.5794648931,2635.9563902537,2585.7710031089,2063.89720134067,1900.44361074829,0.365856056799006,0.274677707308183,0.267760805719479,0.289689202810921,0.26829346294125,115.011919378215,126.967785386676,157.838377382981,165.093986203834,164.625733152227,42.5675659179688,36.8876075744629,30.9031562805176,28.5285263061523,24.4239654541016,3.17216944694519,4.27273941040039,6.06526613235474,7.34002208709717,7.51902341842651
"motor_vehicle_manuf",2138.48288862521,2138.48288862521,1614.34961569181,1614.34961569181,1614.34961569181,39096.2004099348,58466.3583700445,133193.729299898,275584.882528997,270350.33225438,968.74350670875,1111.51150538562,1580.84922241908,1857.73197992217,2396.66323751851,0.239382037044531,0.25861749892162,0.248577143159127,0.245708802474583,0.286320109388253,116.649583677629,129.186669742965,145.58803020359,137.308079453925,145.711300090164,37.5838928222656,27.4285717010498,21.394229888916,15.5635070800781,9.18163299560547,7.43673086166382,10.2870941162109,11.9146203994751,11.2998847961426,11.7992858886719
"nonmetal_min_manuf",2313.70125106026,2313.70125106026,2340.15748403844,2340.15748403844,2340.15748403844,45070.7809170389,51000.6543963223,95722.7588546848,142594.325657994,154726.058500594,3393.64027749447,4399.70013599687,4947.52689265129,4181.71744732064,4649.0959502151,0.265339922457619,0.304408337247158,0.250762487674657,0.254536139365423,0.281296842053832,118.750894767403,118.643918388877,124.116190365813,137.607148228062,137.197516737963,64.7577056884766,60.5337066650391,49.0779304504395,50.5780334472656,44.7852745056152,2.87843561172485,3.19295573234558,4.06859970092773,6.44098424911499,5.94526815414429
"oth_manuf_recycling",2313.70125106026,2313.70125106026,2340.15748403844,2340.15748403844,2340.15748403844,16037.7644906674,15415.1200822319,35282.3101825425,82520.5823391922,113700.720751427,3227.77414317298,4600.48069396887,6086.43102472608,5814.32927158327,8000.36836207183,0.402097722140798,0.66404721450495,0.589580233573185,0.487702922297892,0.361579189870057,116.204382812468,117.821008390912,119.503342579499,121.892407377741,124.02767307877,86.728874206543,80.7692337036133,77.4263153076172,75.9975814819336,72.4883193969727,5.65433406829834,2.47007012367249,7.65881824493408,8.67229747772217,8.7157506942749
"other_services",2287.52160869804,2287.52160869804,2267.95338652411,2267.95338652411,2267.95338652411,459643.555645653,525179.195719955,759025.949135492,1067607.11481109,1138755.78011468,15491.4082320276,17324.5021003097,21484.868370891,26056.1226767672,32830.352450211,0.591105240863074,0.524838495153228,0.461294220524629,0.509961305113885,0.535717604532788,115.12280441825,123.256963276522,130.171080642552,136.746911667731,139.607934406755,93.3457107543945,95.2575302124023,92.6215744018555,84.8979568481445,86.1702117919922,3.31806659698486,4.3503737449646,7.81372213363647,9.69480133056641,9.45166969299316
"paper_print_publish",2289.6073563087,2289.6073563087,2478.60692137127,2478.60692137127,2478.60692137127,15180.5709358311,19839.2340674069,38533.8968183187,57676.5279077566,53434.6520889953,1257.08740789004,1632.75896296563,1554.29890838595,1941.82120776112,2181.97590477947,0.409548058882549,0.445825877385379,0.415887505028123,0.367438795240348,0.3929315240723,115.727682985907,129.170849720152,132.483919739078,135.16065803043,127.611373534875,63.2727279663086,60.7003898620605,55.3444175720215,55.8766860961914,51.4285697937012,7.21410369873047,9.49053382873535,8.70376014709473,10.313042640686,9.94354152679443
"post_telecom",2296.34206273193,2296.34206273193,2517.91935945654,2517.91935945654,2517.91935945654,30071.0410207988,84172.1355404999,125930,197214.753325631,262710.253831112,1252.11132921678,1939.40106894071,1767.4557135795,1854.44982900606,1729.16570729164,0.298424825910041,0.361814902738718,0.458941585959266,0.502468218970164,0.355533741498123,112.170945993291,113.909945029022,128.236410883136,125.335734025607,130.265927739002,42.3728828430176,52.7375183105469,35.7432975769043,24.4987487792969,17.1516723632812,8.90792083740234,10.8451852798462,13.7648754119873,14.7527198791504,15.4207897186279
"rubber_plastic_manuf",2344.33776247495,2344.33776247495,2514.93487845618,2514.93487845618,2514.93487845618,20200.1610000583,22667.4223840441,45308.6927342696,94390.5817199397,101935.132311349,725.495985221748,808.979214504968,1163.39186849545,1362.29417366886,1479.65479571401,0.183835893687494,0.221983695653908,0.303369493235655,0.350308803095008,0.385911353320332,128.771645197279,124.102982680234,127.687444980734,132.974289408232,134.629509706048,40,44.9131507873535,33.5917320251465,20.5417633056641,20.4899749755859,7.13113737106323,8.38260269165039,8.66323661804199,9.51686859130859,9.24039173126221
"textile_leather_footwear",2016.71204502561,2016.71204502561,2147.05828425496,2147.05828425496,2147.05828425496,65184.4641352676,81664.8475504748,153343.798924608,300166.875351141,280552.053488619,11499.3774226101,15140.9670460218,13782.6331551318,12688.8791684434,13712.074468459,0.395507754033983,0.427858616407697,0.510192897780502,0.476164590127151,0.532859489843802,114.879291556921,119.001131273041,123.325355891876,126.778016141633,129.908310869688,76.4173049926758,81.0973434448242,79.2462005615234,74.2964324951172,77.2050018310547,4.73899173736572,5.84438943862915,6.25919389724731,7.50748538970947,8.12552452087402
"trade",2439.06826465261,2439.06826465261,2441.96128508596,2441.96128508596,2441.96128508596,331489.311398875,483515.131755295,793681,1563236.99320311,1684541.09925824,35910.8289610625,43002.0639326526,47441.9644770787,55767.4435758475,67937.1589285587,0.478287473473515,0.471247555539572,0.484578526000479,0.469767086330303,0.460886414944614,114.875885800963,118.284736407554,123.066854666432,126.143171973339,128.202663232902,95.8368911743164,96.8862228393555,96.1127243041992,90.6830062866211,91.8799057006836,5.80496644973755,7.1650071144104,8.04201889038086,9.12508583068848,9.34116363525391
"transport_storage",2369.90384239694,2369.90384239694,2411.81426924322,2411.81426924322,2411.81426924322,153212.936959833,231163.796755885,403605,633761.924723819,676294.985496102,13073.0166825282,16309.2598736769,19442.5104889217,24315.849350867,25491.4078898131,0.515208696934049,0.471699109221561,0.523095946302963,0.533030863794732,0.507725777728585,113.130497713306,117.006486885649,122.54529360287,126.072256162202,126.658402672313,78.4556350708008,89.2097244262695,81.3110656738281,79.0593109130859,82.2452545166016,5.26575326919556,5.35211420059204,6.97476577758789,8.15550804138184,8.53529739379883
"wood_cork",1903.9182303916,1903.9182303916,2042.96501791821,2042.96501791821,2042.96501791821,16839.4071933694,12457.9465786051,21721.5757248501,34141.7650953526,33496.7679588564,4475.60639342234,5184.24858245925,3878.07893689811,2983.76977302906,2743.39232341676,0.246061997648245,0.448838550555525,0.383669556525027,0.320697666472447,0.365527642085441,96.5331044838636,100.767316874531,102.91019487183,106.873643389141,107.919822081884,94.8532562255859,90.5940628051758,94.8957595825195,88.8425445556641,91.5164337158203,3.09579253196716,5.1207013130188,5.39629745483398,6.7465877532959,7.58806037902832
